Part,Major Category,Sub Category,Theory Title,Theorist
Nature,CII. Evolutionary Psychology (Gender Roles),A. Division of Labor (Evolutionary),Division of Labor (Evolutionary Psychology),David Geary
Nature,CIII. Human Ecology (Cultural Adaptation),A. Cultural Ecology (Human),Cultural Ecology (Human),Julian Steward
Nature,CIV. Behavioral Genetics (Social Behavior),A. Genetics of Prosocial Behavior,Genetics of Prosocial Behavior,Laura W. K. Smalley
Nature,CV. Neurobiology of Language (Development),A. Language Lateralization,Language Lateralization Theory,Eric Lenneberg
Nature,CVI. Biological Basis of Sleep (Functions),A. Sleep for Memory Consolidation,Sleep for Memory Consolidation Theory,Robert Stickgold
Nature,CVII. Evolutionary Aesthetics (Sexual Selection),A. Handicap Principle (Aesthetics),Handicap Principle (Aesthetics),Geoffrey Miller
Nature,CVIII. Biological Basis of Stress (Early Life),A. Early Life Stress & Brain Development,Early Life Stress and Brain Development Theory,Megan Gunnar
Nature,CIX. Human Microbiome (Immunity),A. Microbiome and Immune System Development,Microbiome and Immune System Development Theory,Jeffrey Gordon
Nature,CX. Neurobiology of Emotion (Appraisal),A. Appraisal Theory (Neurobiological),Appraisal Theory (Neurobiological),Klaus Scherer (applied to neurobiology)
Nature,CXI. Biological Basis of Attachment,A. Social Bonding Hormones,Social Bonding Hormones Theory,C. Sue Carter
Nature,CXII. Evolutionary Psychology (Health),A. Sickness Behavior as Adaptation,Sickness Behavior as Adaptation Theory,Robert Dantzer
Nature,CXIII. Neurobiology of Morality (Empathy),A. Empathy-Based Morality,Empathy-Based Morality (Neurobiological),Frans de Waal
Nature,CXIV. Human Behavioral Ecology (Reproduction),A. Optimal Reproductive Strategies,Optimal Reproductive Strategies (Human),Hillard Kaplan
Nature,CXV. Biological Basis of Memory (Emotional),A. Amygdala and Emotional Memory,Amygdala and Emotional Memory Theory,Joseph LeDoux
Nature,CXVI. Evolutionary Anthropology (Cooperation),A. Group Cooperation (Evolutionary),Group Cooperation (Evolutionary Anthropology),Michael Tomasello
Nature,CXVII. Neurobiology of Social Learning (Imitation),A. Imitation & Learning,Imitation and Learning (Neurobiological),Marco Iacoboni
Nature,CXVIII. Human Microbiome & Mental Disorders,A. Dysbiosis & Mental Health,Gut Dysbiosis and Mental Health Theory,N/A (Emerging research)
Nature,CXIX. Biological Basis of Personality (Big Five),A. Biological Big Five,Biological Big Five Personality Theory,"Jeffrey Gray (partially related), N/A (ongoing synthesis)"
Nature,CXX. Evolutionary Psychology (Decision Making),A. Rationality (Bounded Evolutionary),Bounded Rationality (Evolutionary Psychology),Gerd Gigerenzer
Nature,CXXI. Neurobiology of Self,A. Self-Referential Processing,Self-Referential Processing (Neurobiological),Todd F. Heatherton
Nature,CXXII. Human Reproductive Biology (Sexual Behavior),A. Sexual Plasticity (Biological),Sexual Plasticity (Biological),Lisa M. Diamond
Nature,CXXIII. Evolutionary Developmental Psychology,A. Evo-Devo (Psychology),Evolutionary Developmental Psychology,David F. Bjorklund
Nature,CXXIV. Biological Basis of Addiction (Learning),A. Reinforcement Learning (Addiction),Reinforcement Learning (Addiction Neurobiology),George F. Koob
Nature,CXXV. Neurobiology of Language (Acquisition),A. Critical Period Hypothesis (Language),Critical Period Hypothesis (Language Neurobiology),Eric Lenneberg
Nature,CXXVI. Human Ethology (Social Signals),A. Gaze Following (Human),Gaze Following (Human Ethology),Simon Baron-Cohen
Nature,CXXVII. Biological Basis of Stress Resilience,A. Resilience Neurobiology,Resilience Neurobiology (Stress),Dennis S. Charney
Nature,CXXVIII. Evolutionary Psychology (Cooperation),A. Indirect Reciprocity,Indirect Reciprocity Theory (Evolutionary),Richard Alexander
Nature,CXXIX. Neurobiology of Social Bonding (Parental),A. Parental Brain Networks,Parental Brain Networks Theory,James R. Rilling
Nature,CXXX. Biological Basis of Aggression (Genetic),A. Genetic Predisposition to Aggression,Genetic Predisposition to Aggression Theory,Avshalom Caspi
Nature,CXXXI. Human Chronobiology (Health),A. Chronotype & Health,Chronotype and Health Theory,Till Roenneberg
Nature,CXXXII. Evolutionary Medicine (Pathogen Evolution),A. Pathogen Evolution and Human Health,Pathogen Evolution and Human Health,Stephen S. Morse
Nature,CXXXIII. Neurobiology of Reward (Social),A. Social Reward System,Social Reward System Theory (Neurobiological),Diana I. Tamir
Nature,CXXXIV. Human Ecological Theory (Health),A. Epidemiological Transition Theory (Human Ecology),Epidemiological Transition Theory (Human Ecology),Abdel R. Omran
Nature,CXXXV. Biological Basis of Emotion Regulation,A. Prefrontal Cortex & Emotion,Prefrontal Cortex and Emotion Regulation Theory,"Kevin Ochsner, James J. Gross"
Nature,CXXXVI. Evolutionary Developmental Biology (Evo-Devo),A. Developmental Plasticity (Human),Developmental Plasticity (Human),Mary Jane West-Eberhard
Nature,CXXXVII. Biological Basis of Decision Making (Uncertainty),A. Neural Basis of Uncertainty,Neural Basis of Uncertainty (Decision Making),Nathaniel D. Daw
Nature,CXXXVIII. Human Microbiome (Early Development),A. Maternal Microbiome & Offspring Health,Maternal Microbiome and Offspring Health Theory,Kjersti Aagaard
Nature,CXXXIX. Neurobiology of Self (Social),A. Social Self (Neurobiological),Social Self (Neurobiological),Matthew D. Lieberman
Nature,CXL. Evolutionary Psychology (Cognitive Biases),A. Adaptive Biases (Evolutionary),Adaptive Biases (Evolutionary Psychology),Gerd Gigerenzer
Nature,CXLI. Biological Basis of Language (Genes),A. Specific Language Impairment (SLI) Genetics,Specific Language Impairment (SLI) Genetics,N/A (Clinical genetic research)
Nature,CXLII. Human Ethology (Play),A. Play Behavior (Evolutionary),Play Behavior (Evolutionary Ethology),Gordon Burghardt
Nature,CXLIII. Neurobiology of Learning (Fear),A. Fear Conditioning,Fear Conditioning (Neurobiological),Joseph LeDoux
Nature,CXLIV. Human Reproductive Biology (Mating Systems),A. Mating Systems (Human),Mating Systems (Human Evolutionary Biology),Helen Fisher
Nature,CXLV. Behavioral Endocrinology (Stress),A. Cortisol and Stress Response,Cortisol and Stress Response Theory,Robert Sapolsky
Nature,CXLVI. Evolutionary Genetics (Human Traits),A. Recent Human Evolution,Recent Human Evolution Theory,Henry Harpending
Nature,CXLVII. Biological Basis of Social Behavior (Gene Expression),A. Gene Expression and Social Behavior,Gene Expression and Social Behavior,Gene Robinson
Nature,CXLVIII. Neurobiology of Memory (Long-Term),A. Long-Term Memory Formation,Long-Term Memory Formation (Neurobiological),Eric R. Kandel
Nature,CXLIX. Evolutionary Psychology (Aesthetics),A. Evolutionary Theory of Art,Evolutionary Theory of Art,"Denis Dutton, Geoffrey Miller"
Nature,CL. Human Ecological Theory (Health & Disease),A. Co-Evolution of Humans and Pathogens,Co-Evolution of Humans and Pathogens,Paul Ewald
Culture,I. Foundational & Classical Approaches,A. Early Cultural Analysis,Culture and Civilization (Early),Matthew Arnold
Culture,I. Foundational & Classical Approaches,A. Early Cultural Analysis,"Culture as a ""Whole Way of Life""",Raymond Williams
Culture,I. Foundational & Classical Approaches,B. Marxist Influences,Base and Superstructure (Culture),"Karl Marx, Friedrich Engels"
Culture,I. Foundational & Classical Approaches,B. Marxist Influences,Ideology (Cultural Studies),"Karl Marx, Louis Althusser, Antonio Gramsci"
Culture,I. Foundational & Classical Approaches,B. Marxist Influences,Commodity Fetishism (Cultural),Karl Marx
Culture,I. Foundational & Classical Approaches,C. Sociology of Culture,Collective Effervescence (Cultural),Émile Durkheim
Culture,I. Foundational & Classical Approaches,C. Sociology of Culture,The Protestant Ethic (Cultural),Max Weber
Culture,II. British Cultural Studies (Birmingham School),A. Hegemony & Power,Hegemony (Cultural Studies),"Antonio Gramsci, Stuart Hall"
Culture,II. British Cultural Studies (Birmingham School),A. Hegemony & Power,Encoding/Decoding Model (Cultural Studies),Stuart Hall
Culture,II. British Cultural Studies (Birmingham School),B. Subcultures,Subculture Theory (Cultural Studies),"Dick Hebdige, Stuart Hall"
Culture,II. British Cultural Studies (Birmingham School),B. Subcultures,Semiotics of Subculture,Dick Hebdige
Culture,II. British Cultural Studies (Birmingham School),C. Cultural Production & Consumption,Cultural Production Theory (Cultural Studies),"Raymond Williams, Stuart Hall"
Culture,II. British Cultural Studies (Birmingham School),C. Cultural Production & Consumption,Active Audience Theory,Stuart Hall
Culture,III. Critical Theory & Frankfurt School (Culture),A. Culture Industry,Culture Industry Theory,"Theodor Adorno, Max Horkheimer"
Culture,III. Critical Theory & A. Culture Industry,Instrumental Reason (Culture),Instrumental Reason (Culture),"Max Horkheimer, Theodor Adorno"
Culture,III. Critical Theory & A. Culture Industry,Pseudo-Individualization,Pseudo-Individualization,Theodor Adorno
Culture,III. Critical Theory & B. Mass Culture Critique,The Work of Art in the Age of Mechanical Reproduction (Cultural),The Work of Art in the Age of Mechanical Reproduction (Cultural),Walter Benjamin
Culture,III. Critical Theory & B. Mass Culture Critique,Aura (Cultural),Aura (Cultural),Walter Benjamin
Culture,IV. Post-Structuralism & Postmodernism (Culture),A. Simulation & Hyperreality,Simulation and Simulacra (Cultural),Jean Baudrillard
Culture,IV. Post-Structuralism & A. Simulation & Hyperreality,Hyperreality (Cultural),Hyperreality (Cultural),Jean Baudrillard
Culture,IV. Post-Structuralism & B. Postmodern Condition,Pastiche (Cultural),Pastiche (Cultural),Fredric Jameson
Culture,IV. Post-Structuralism & B. Postmodern Condition,Waning of Affect (Cultural),Waning of Affect (Cultural),Fredric Jameson
Culture,IV. Post-Structuralism & B. Postmodern Condition,Intertextuality (Cultural),Intertextuality (Cultural),"Julia Kristeva, Roland Barthes"
Culture,IV. Post-Structuralism & B. Postmodern Condition,Incredulity toward Metanarratives (Cultural),Incredulity toward Metanarratives (Cultural),Jean-François Lyotard
Culture,IV. Post-Structuralism & C. Power & Discourse,Governmentality (Cultural),Governmentality (Cultural),Michel Foucault
Culture,IV. Post-Structuralism & C. Power & Discourse,Biopower (Cultural),Biopower (Cultural),Michel Foucault
Culture,IV. Post-Structuralism & C. Power & Discourse,Discourse (Cultural),Discourse (Cultural),Michel Foucault
Culture,V. Cultural Sociology & Social Theory,A. Field Theory & Capital,Cultural Capital Theory (Cultural Studies),Pierre Bourdieu
Culture,V. Cultural Sociology & A. Field Theory & Capital,Habitus (Cultural Studies),Habitus (Cultural Studies),Pierre Bourdieu
Culture,V. Cultural Sociology & A. Field Theory & Capital,Field Theory (Cultural Studies),Field Theory (Cultural Studies),Pierre Bourdieu
Culture,V. Cultural Sociology & B. Everyday Life & Consumption,The Practice of Everyday Life (Cultural),The Practice of Everyday Life (Cultural),Michel de Certeau
Culture,V. Cultural Sociology & B. Everyday Life & Consumption,Conspicuous Consumption (Cultural),Conspicuous Consumption (Cultural),Thorstein Veblen
Culture,V. Cultural Sociology & B. Everyday Life & Consumption,Consumer Society (Cultural),Consumer Society (Cultural),"Jean Baudrillard, Zygmunt Bauman"
Culture,V. Cultural Sociology & C. Collective Memory,Collective Memory (Cultural),Collective Memory (Cultural),Maurice Halbwachs
Culture,V. Cultural Sociology & C. Collective Memory,Sites of Memory (Cultural),Sites of Memory (Cultural),Pierre Nora
Culture,VI. Identity & Difference in Culture,A. Intersectionality,Intersectionality (Cultural Studies),Kimberlé Crenshaw
Culture,VI. Identity & Difference in Culture,A. Intersectionality,Cultural Appropriation (Theory),N/A (Common critical concept)
Culture,VI. Identity & B. Gender & Sexuality,Doing Gender (Cultural),Doing Gender (Cultural),Candace West & Don H. Zimmerman
Culture,VI. Identity & B. Gender & Sexuality,Queer Theory (Cultural Studies),Queer Theory (Cultural Studies),"Judith Butler, Eve Kosofsky Sedgwick"
Culture,VI. Identity & C. Race & Ethnicity,Whiteness Studies (Cultural),Whiteness Studies (Cultural),Richard Dyer
Culture,VI. Identity & C. Race & Ethnicity,Racial Formation Theory (Cultural),Racial Formation Theory (Cultural),Michael Omi & Howard Winant
Culture,VI. Identity & D. Postcolonial & Transnational,Hybridity (Cultural),Hybridity (Cultural),Homi K. Bhabha
Culture,VI. Identity & D. Postcolonial & Transnational,Acculturation (Cultural),Acculturation (Cultural),John W. Berry
Culture,VII. Media & Communication in Culture,A. Media Effects,Cultivation Theory (Cultural),George Gerbner & Larry Gross
Culture,VII. Media & A. Media Effects,Agenda-Setting Theory (Cultural),Agenda-Setting Theory (Cultural),Maxwell McCombs & Donald Shaw
Culture,VII. Media & B. Audience & Reception,Uses and Gratifications Theory (Cultural),Uses and Gratifications Theory (Cultural),Elihu Katz
Culture,VII. Media & B. Audience & Reception,Active Audience Theory (Cultural Studies),Active Audience Theory (Cultural Studies),Stuart Hall
Culture,VII. Media & C. Digital Culture,Convergence Culture (Cultural Studies),Convergence Culture (Cultural Studies),Henry Jenkins
Culture,VII. Media & C. Digital Culture,Transmedia Storytelling (Cultural),Transmedia Storytelling (Cultural),Henry Jenkins
Culture,VII. Media & C. Digital Culture,Platform Society (Cultural),Platform Society (Cultural),"José van Dijck, Thomas Poell"
Culture,VII. Media & C. Digital Culture,Algorithmic Culture,Algorithmic Culture,Ted Striphas
Culture,VII. Media & C. Digital Culture,Surveillance Capitalism (Cultural),Surveillance Capitalism (Cultural),Shoshana Zuboff
Culture,VIII. Global & Transnational Cultural Theories,A. Globalization of Culture,Glocalization (Cultural Studies),Roland Robertson
Culture,VIII. Global & A. Globalization of Culture,Cultural Hybridization,Cultural Hybridization,Néstor García Canclini
Culture,VIII. Global & B. World Culture,World Culture Theory,World Culture Theory,John W. Meyer
Culture,VIII. Global & C. Empire & Culture,Cultural Imperialism,Cultural Imperialism,Herbert Schiller
Culture,IX. Affect Theory & Sensory Studies in Culture,A. Affect & Emotion,Affect Theory (Cultural Studies),"Brian Massumi, Sara Ahmed"
Culture,IX. Affect Theory & A. Affect & Emotion,Emotional Culture (Cultural),Emotional Culture (Cultural),Arlie Russell Hochschild
Culture,IX. Affect Theory & B. Sensory Experience,Sensory Studies (Cultural),Sensory Studies (Cultural),"Alain Corbin, Constance Classen"
Culture,X. Critical Animal Studies & Environmental Humanities,A. Human-Animal Relations (Cultural),Critical Animal Studies (Cultural),Cary Wolfe
Culture,X. Critical Animal Studies & B. Ecocriticism (Cultural),Ecocriticism (Cultural Studies),Ecocriticism (Cultural Studies),Cheryll Glotfelty
Culture,X. Critical Animal Studies & B. Ecocriticism (Cultural),Anthropocene (Cultural Studies),Anthropocene (Cultural Studies),Donna Haraway
Culture,XI. Digital Culture & Communication,A. Digital Ethnography,Digital Ethnography,Christine Hine
Culture,XI. Digital Culture & B. Online Communities,Networked Individualism (Cultural),Networked Individualism (Cultural),Barry Wellman
Culture,XI. Digital Culture & B. Online Communities,Imagined Communities (Digital),Imagined Communities (Digital),Nancy Baym
Culture,XII. Cultural Economy & Production,A. Creative Industries,Creative Industries Theory,"John Howkins, David Hesmondhalgh"
Culture,XII. Cultural Economy & A. Creative Industries,Precariat (Cultural Studies),Precariat (Cultural Studies),Guy Standing
Culture,XII. Cultural Economy & B. Value in Culture,Cultural Value Theory,Cultural Value Theory,Arjo Klamer
Culture,XIII. Philosophy of Culture,A. Symbolic Forms,Symbolic Forms Theory,Ernst Cassirer
Culture,XIII. Philosophy of Culture & B. Critical Philosophy of Culture,Critique of Modernity (Cultural),Critique of Modernity (Cultural),"Max Weber, Jürgen Habermas"
Culture,XIV. Media Archaeology (Cultural),A. History of Media,Media Archaeology (Cultural),"Siegfried Zielinski, Erkki Huhtamo"
Culture,XV. Memory Studies (Cultural),A. Traumatic Memory,Cultural Memory of Trauma (Cultural Studies),Michael Rothberg
Culture,XV. Memory Studies & B. Public Memory,Public Memory (Cultural),Public Memory (Cultural),Kirk Savage
Culture,XVI. Heritage Studies (Cultural),A. Heritage & Identity,Heritage Studies (Cultural),David Lowenthal
Culture,XVII. Material Culture Studies,A. Objects & Meaning,Material Culture Theory,"Daniel Miller, Arjun Appadurai"
Culture,XVII. Material Culture Studies & A. Objects & Meaning,Social Lives of Things,Social Lives of Things,Arjun Appadurai
Culture,XVIII. Sociology of Art,A. Art as Social System,Art as Social System Theory,Howard S. Becker
Culture,XIX. Food Studies (Cultural),A. Food & Identity,Food and Culture Theory,"Claude Lévi-Strauss (culinary triangle), Sidney Mintz"
Culture,XX. Fashion Studies (Cultural),A. Fashion & Identity,Fashion and Identity Theory,"Georg Simmel, Roland Barthes"
Culture,XXI. Sound Studies (Cultural),A. Soundscapes (Cultural),Soundscapes Theory (Cultural),R. Murray Schafer
Culture,XXII. Visual Culture Studies,A. Visual Power,Visual Culture Theory,"W.J.T. Mitchell, Nicholas Mirzoeff"
Culture,XXIII. Science and Technology Studies (Cultural),A. Social Construction of Technology (Cultural),Social Construction of Technology (SCOT in Cultural Studies),"Wiebe Bijker, Trevor Pinch"
Culture,XXIV. Urban Cultural Studies,A. City as Text,City as Text Theory,"Kevin Lynch (image of the city), N/A (cultural application)"
Culture,XXV. Popular Culture Studies,A. Fandom & Subcultures,Fandom Studies (Cultural),Henry Jenkins
Culture,XXVI. Everyday Life Studies,A. Mundane Culture,Everyday Life Theory (Cultural),"Michel de Certeau, Henri Lefebvre"
Culture,XXVII. Anthropology of Culture,A. Cultural Relativism,Cultural Relativism (Cultural),"Franz Boas, Ruth Benedict"
Culture,XXVIII. Digital Media Theories (Cultural),A. Digital Materiality,Digital Materiality (Cultural),Erin Manning
Culture,XXIX. Critical Heritage Studies,A. Dark Heritage,Dark Heritage (Cultural),Tony Walter
Culture,XXX. Performance Studies (Cultural),A. Performativity (Cultural),Performativity (Cultural),"Judith Butler, J.L. Austin (linguistic, applied)"
Culture,XXXI. Cultural Geography,A. Cultural Landscape,Cultural Landscape Theory,Carl Sauer
Culture,XXXII. Cultural Evolution,A. Memetics,Memetics,"Richard Dawkins (coined ""meme""), Susan Blackmore"
Culture,XXXIII. Transnational Cultural Studies,A. Diasporic Culture,Diasporic Culture Theory,Stuart Hall
Culture,XXXIV. Cultural Memory Studies (Advanced),A. Communicative Memory,Communicative Memory (Cultural),Jan Assmann
Culture,XXXV. Philosophy of Culture,A. Culture as Praxis,Culture as Praxis Theory,Raymond Williams
Culture,XXXVI. Aesthetics (Cultural Context),A. Cultural Aesthetics,Cultural Aesthetics Theory,Pierre Bourdieu
Culture,XXXVII. Sociology of Science & Culture,A. Science as Culture,Science as Culture Theory,Bruno Latour
Culture,XXXVIII. Posthumanism (Cultural),A. Posthuman Culture,Posthuman Culture Theory,Rosi Braidotti
Culture,XXXIX. Digital Culture (Specific Phenomena),A. Digital Folklore,Digital Folklore Theory,Limor Shifman
Culture,XL. Cultural Policy Studies,A. Cultural Policy,Cultural Policy Theory,Toby Miller
Culture,XLI. Embodiment in Culture,A. Embodied Culture,Embodied Culture Theory,Pierre Bourdieu
Culture,XLII. Critical Discourse Analysis (Cultural),A. Power and Discourse (Cultural),Critical Discourse Analysis (CDA in Cultural Studies),Norman Fairclough
Culture,XLIII. Cultural Psychology,A. Culture and Self,Cultural Self Theory,"Hazel Rose Markus, Shinobu Kitayama"
Culture,XLIV. Cultural Evolution (Advanced),A. Cultural Transmission Theory,Cultural Transmission Theory,"Robert Boyd, Peter J. Richerson"
Culture,XLV. Cultural Geography (Advanced),A. Sense of Place,Sense of Place Theory (Cultural),Yi-Fu Tuan
Culture,XLVI. Cultural Politics,A. Cultural Politics Theory,Cultural Politics Theory,N/A (Broad concept)
Culture,XLVII. Global Cultural Flows (Deep Dive),A. Deterritorialization,Deterritorialization (Cultural),Arjun Appadurai
Culture,XLVIII. Cultural Trauma Studies,A. Cultural Trauma Theory,Cultural Trauma Theory,Jeffrey C. Alexander
Culture,XLIX. Cultural Anthropology (Meaning),A. Culture as Meaning Systems,Culture as Meaning Systems Theory,Clifford Geertz
Culture,L. Culture and Time,A. Cultural Temporalities,Cultural Temporalities Theory,N/A (Emerging field)
Culture,LI. Experience Economy (Cultural),A. Experience Economy,Experience Economy (Cultural),"B. Joseph Pine II, James H. Gilmore"
Culture,LII. Cultural Citizenship,A. Cultural Rights,Cultural Citizenship Theory,Toby Miller
Culture,LIII. Affective Publics,A. Affective Publics,Affective Publics Theory,Megan Boler
Culture,LIV. Cultural Neuroscience,A. Brain & Culture Interaction,Cultural Neuroscience,Joan Y. Chiao
Culture,LV. Cultural Evolution (Computational),A. Cultural Dynamics,Cultural Dynamics (Computational),Alex Mesoudi
Culture,LVI. Cultural Value Chains,A. Cultural Value Chains,Cultural Value Chains Theory,David Hesmondhalgh
Culture,LVII. Cultural Policy (Global),A. Cultural Diplomacy,Cultural Diplomacy Theory,Milton C. Cummings Jr.
Culture,LVIII. Indigenous Cultural Studies,A. Decolonizing Culture,Decolonizing Cultural Studies,Linda Tuhiwai Smith
Culture,LIX. Cultural Studies of Science,A. Science in Culture,Science in Culture Theory,"Donna Haraway, Bruno Latour"
Culture,LX. Popular Culture & Politics,A. Cultural Politics of Pop Culture,Cultural Politics of Popular Culture,John Fiske
Culture,LXI. Cultural Heritage Management,A. Intangible Heritage,Intangible Cultural Heritage Theory,UNESCO
Culture,LXII. Cultural Exchange Theories,A. Transculturation,Transculturation,Fernando Ortiz
Culture,LXIII. Cultural Ecology (Human Adaptation),A. Cultural Adaptation,Cultural Adaptation Theory,Julian Steward
Culture,LXIV. Cultural Rights (Legal),A. Human Rights & Culture,Human Rights and Culture Theory,N/A (Legal/ethical debate)
Culture,LXV. Cultural Production (Alternative Models),A. Prosumption,Prosumption (Cultural),"Alvin Toffler (coined term), George Ritzer (applied to culture)"
Culture,LXVI. Cultural Studies of Disaster,A. Disaster Culture,Disaster Culture Theory,Mike Davis
Culture,LXVII. Cultural Industries (Global),A. Global Cultural Industries,Global Cultural Industries Theory,David Hesmondhalgh
Culture,LXVIII. Cultural Politics of Memory,A. Memory Wars (Cultural),Memory Wars (Cultural Studies),Jeffrey Olick
Culture,LXIX. Cultural Resilience,A. Cultural Resilience Theory,Cultural Resilience Theory,N/A (Emerging concept)
Culture,LXX. Cultural Value (Economic),A. Cultural Economics,Cultural Economics Theory,N/A (Economic sub-field)
Culture,LXXI. Cultural Psychology (Identity),A. Cultural Identity Theory,Cultural Identity Theory,Geert Hofstede
Culture,LXXII. Cultural Semiotics,A. Cultural Codes,Cultural Codes Theory,Umberto Eco
Culture,LXXIII. Cultural Studies of Risk,A. Risk Culture,Risk Culture Theory,"Mary Douglas, Aaron Wildavsky"
Culture,LXXIV. Digital Culture (Participation),A. Participatory Culture,Participatory Culture Theory,Henry Jenkins
Culture,LXXV. Cultural Studies of Health,A. Culture of Health,Culture of Health Theory,N/A (Public health/sociology crossover)
Culture,LXXVI. Cultural Diplomacy,A. Soft Power (Cultural),Soft Power (Cultural Studies),Joseph Nye
Culture,LXXVII. Cultural Studies of Disaster (Representation),A. Disaster Narratives (Cultural),Disaster Narratives (Cultural),"Greg Bankoff, Jeffrey Olick"
Culture,LXXVIII. Cultural Sociology (Aesthetics),A. Sociology of Taste,Sociology of Taste Theory,Pierre Bourdieu
Culture,LXXIX. Global Popular Culture,A. Global Pop Culture,Global Popular Culture Theory,John Fiske
Culture,LXXX. Cultural Politics of Food,A. Food Sovereignty (Cultural),Food Sovereignty (Cultural),"La Vía Campesina (social movement, theorized)"
Culture,LXXXI. Cultural Studies of Infrastructure,A. Infrastructure as Culture,Infrastructure as Culture Theory,Shannon Mattern
Culture,LXXXII. Indigenous Cultural Revitalization,A. Cultural Revitalization (Indigenous),Cultural Revitalization (Indigenous),N/A (Indigenous studies concept)
Culture,LXXXIII. Cultural Studies of Risk (Social Amplification),A. Social Amplification of Risk,Social Amplification of Risk Framework (SARF in Cultural Studies),"Roger E. Kasperson, Jeanne X. Kasperson"
Culture,LXXXIV. Cultural Consumption (Identity),A. Identity Consumption,Identity Consumption Theory,Colin Campbell
Culture,LXXXV. Cultural Studies of Technology,A. Technological Culture,Technological Culture Theory,Manuel Castells
Culture,LXXXVI. Cultural Studies of Time,A. Cultural Rhythms,Cultural Rhythms Theory,"N/A (Sociological concept, applied culturally)"
Culture,LXXXVII. Cultural Studies of Space,A. Cultural Space,Cultural Space Theory,Henri Lefebvre
Culture,LXXXVIII. Cultural Resistance,A. Cultural Resistance Theory,Cultural Resistance Theory,James C. Scott
Culture,LXXXIX. Cultural Hybridity (Global Context),A. Cultural Creolization,Cultural Creolization Theory,Édouard Glissant
Culture,XC. Cultural Studies of Surveillance,A. Surveillance Culture,Surveillance Culture Theory,David Lyon
Culture,XCI. Cultural Authenticity,A. Authenticity in Culture,Authenticity in Culture Theory,"Dean MacCannell, Erving Goffman"
Culture,XCII. Cultural Flows (Beyond Western),A. Reverse Cultural Flows,Reverse Cultural Flows Theory,Koichi Iwabuchi
Culture,XCIII. Cultural Studies of Algorithms,A. Algorithmic Culture (Advanced),Algorithmic Culture (Advanced Cultural Studies),Tarleton Gillespie
Culture,XCIV. Cultural Politics of Memory (Advanced),A. Contested Heritage,Contested Heritage Theory,Sharon Macdonald
Culture,XCV. Cultural Sociology (Taste),A. Cultural Omnivore,Cultural Omnivore Theory,Richard A. Peterson
Culture,XCVI. Cultural Studies of Waste,A. Waste & Culture,Waste and Culture Theory,Gay Hawkins
Culture,XCVII. Cultural Studies of Food (Globalization),A. Global Foodways,Global Foodways Theory,Sidney Mintz
Culture,XCVIII. Cultural Studies of Animals,A. Multispecies Ethnography (Cultural),Multispecies Ethnography (Cultural),Anna Tsing
Culture,XCIX. Cultural Studies of Emotions,A. Emotionology,Emotionology (Cultural),Peter N. Stearns
Culture,C. Cultural Studies of Science (Lay Knowledge),A. Lay Expertise (Cultural),Lay Expertise (Cultural Studies of Science),Brian Wynne
Economics,I. Behavioral Economics (Foundational),A. Cognitive Biases & Heuristics,Prospect Theory,"Daniel Kahneman, Amos Tversky"
Economics,I. Behavioral Economics (Foundational),A. Cognitive Biases & Heuristics,Bounded Rationality,Herbert A. Simon
Economics,I. Behavioral Economics (Foundational),A. Cognitive Biases & Heuristics,Framing Effect,"Daniel Kahneman, Amos Tversky"
Economics,I. Behavioral Economics (Foundational),A. Cognitive Biases & Heuristics,Loss Aversion,"Daniel Kahneman, Amos Tversky"
Economics,I. Behavioral Economics (Foundational),A. Cognitive Biases & Heuristics,Endowment Effect,"Richard Thaler, Daniel Kahneman, Jack Knetsch"
Economics,I. Behavioral Economics (Foundational),A. Cognitive Biases & Heuristics,Anchoring Bias,"Daniel Kahneman, Amos Tversky"
Economics,I. Behavioral Economics (Foundational),A. Cognitive Biases & Heuristics,Availability Heuristic,"Daniel Kahneman, Amos Tversky"
Economics,I. Behavioral Economics (Foundational),A. Cognitive Biases & Heuristics,Representativeness Heuristic,"Daniel Kahneman, Amos Tversky"
Economics,I. Behavioral Economics (Foundational),A. Cognitive Biases & Heuristics,Sunk Cost Fallacy,Richard Thaler
Economics,I. Behavioral Economics (Foundational),B. Intertemporal Choice & Self-Control,Present Bias,"David Laibson, George Ainslie"
Economics,I. Behavioral Economics (Foundational) B. Intertemporal Choice & Self-Control,Hyperbolic Discounting,Hyperbolic Discounting,"David Laibson, George Ainslie"
Economics,I. Behavioral Economics (Foundational) B. Intertemporal Choice & Self-Control,Time Inconsistency,Time Inconsistency,R.H. Strotz
Economics,I. Behavioral Economics (Foundational) B. Intertemporal Choice & Self-Control,Self-Control Problems,Self-Control Problems,"Richard Thaler, Hersh Shefrin"
Economics,I. Behavioral Economics (Foundational) B. Intertemporal Choice & Self-Control,Dual-Self Model,Dual-Self Model,"Richard Thaler, Hersh Shefrin"
Economics,I. Behavioral Economics (Foundational) C. Social Preferences,Fairness Theory (Economics),Fairness Theory (Economics),"Matthew Rabin, Ernst Fehr, Klaus Schmidt"
Economics,I. Behavioral Economics (Foundational) C. Social Preferences,Reciprocity (Economics),Reciprocity (Economics),"Ernst Fehr, Armin Falk"
Economics,I. Behavioral Economics (Foundational) C. Social Preferences,Altruism (Economics),Altruism (Economics),"James Andreoni, Gary Becker"
